Skill
Python
Django
Machine Learning
SQL
Git
GitHub
Pandas
NumPy
Scikit-learn
Flask
REST API
HTML
CSS
JavaScript
Bootstrap
Power BI
Excel
Statistics
Data Analysis
NLP
